[PID 7774] [1752016733.415863520] Entering syscall: 59 (arg1: 140726975076048, arg2: 140726975076880, arg3: 140726975076912)
[PID 7774] [1752016733.416096726] Exiting syscall: 59 -> return: -2
[PID 7774] [1752016733.416156512] Entering syscall: 59 (arg1: 140726975076048, arg2: 140726975076880, arg3: 140726975076912)
[PID 7774] [1752016733.416268977] Exiting syscall: 59 -> return: -2
[PID 7774] [1752016733.416314060] Entering syscall: 59 (arg1: 140726975076048, arg2: 140726975076880, arg3: 140726975076912)
[PID 7774] [1752016733.416414159] Exiting syscall: 59 -> return: -2
[PID 7774] [1752016733.416459437] Entering syscall: 59 (arg1: 140726975076048, arg2: 140726975076880, arg3: 140726975076912)
[PID 7774] [1752016733.416768691] Exiting syscall: 59 -> return: 0
[PID 7774] [1752016733.416817572] Entering syscall: 59 (arg1: 0, arg2: 0, arg3: 0)
[PID 7774] [1752016733.416882324] Exiting syscall: 12 -> return: -38
[PID 7774] [1752016733.416926337] Entering syscall: 12 (arg1: 0, arg2: 124878346193432, arg3: 0)
[PID 7774] [1752016733.417019619] Exiting syscall: 9 -> return: -38
[PID 7774] [1752016733.417085345] Entering syscall: 9 (arg1: 0, arg2: 8192, arg3: 3)
[PID 7774] [1752016733.417139192] Exiting syscall: 21 -> return: -38
[PID 7774] [1752016733.417185444] Entering syscall: 21 (arg1: 124878346163632, arg2: 4, arg3: 97712712215240)
[PID 7774] [1752016733.417230625] Exiting syscall: 257 -> return: -38
[PID 7774] [1752016733.417279311] Entering syscall: 257 (arg1: 4294967196, arg2: 124878346158991, arg3: 524288)
[PID 7774] [1752016733.417323518] Exiting syscall: 5 -> return: -38
[PID 7774] [1752016733.417367627] Entering syscall: 5 (arg1: 3, arg2: 140729962349664, arg3: 524288)
[PID 7774] [1752016733.417411542] Exiting syscall: 9 -> return: -38
[PID 7774] [1752016733.417460910] Entering syscall: 9 (arg1: 0, arg2: 19567, arg3: 1)
[PID 7774] [1752016733.417537542] Exiting syscall: 3 -> return: -38
[PID 7774] [1752016733.417581359] Entering syscall: 3 (arg1: 3, arg2: 19567, arg3: 1)
[PID 7774] [1752016733.417630727] Exiting syscall: 257 -> return: -38
[PID 7774] [1752016733.417715538] Entering syscall: 257 (arg1: 4294967196, arg2: 124878345961792, arg3: 524288)
